time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-15 16:03:10.029 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,598854074368,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1700064189982,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,8,18,180573312, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:04:10.034 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, ,2635, , , , , , , , , ,10,10, , , ,1,2,12, ,2378, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,600222007296,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191,2,2,1,2, , , ,99,99,2,99, ,3,101, , , , , , , , , , ,4096,2,105793,101, , , , , , ,66,96,220397696, , , , , , , ,2764, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,29, ,183, ,134,2144,257,1, , , , , , , , , 
2023-11-15 16:05:10.038 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,600139431936,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,15,13,165992376, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:06:10.042 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,615350992896,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,170186680, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:07:10.045 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,614633701376,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,178575288,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:08:10.049 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,613991776256,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,186963896,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:09:10.054 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,613371281408,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,195352504, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:10:10.059 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,612940775424,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,72,60,271455344, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:11:10.062 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,612283711488,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,296621168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:12:10.065 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,611643752448,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700064189982,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,75,72,148646000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
